ref	ball_pos	gear_angle	motor_voltage	zero
0.700	4.336	0.692	-0.125	0.000
0.700	4.333	0.692	-0.125	0.000
0.700	4.336	0.689	-0.132	0.000
0.700	4.333	0.687	-0.136	0.000
0.700	4.336	0.689	-0.132	0.000
0.700	4.333	0.692	-0.125	0.000
0.700	4.333	0.690	-0.129	0.000
0.700	4.336	0.689	-0.132	0.000
0.700	4.333	0.690	-0.129	0.000
0.700	4.336	0.692	-0.125	0.000
0.700	4.333	0.689	-0.132	0.000
0.700	4.336	0.692	-0.125	0.000
0.700	4.333	0.692	-0.125	0.000
0.700	4.333	0.690	-0.129	0.000
0.700	4.333	0.692	-0.125	0.000
0.700	4.333	0.692	-0.125	0.000
0.700	4.336	0.692	-0.125	0.000
0.700	4.331	0.692	-0.125	0.000
0.700	4.333	0.692	-0.125	0.000
0.700	4.336	0.692	-0.125	0.000
0.700	4.336	0.692	-0.125	0.000
0.700	4.333	0.693	-0.122	0.000
0.700	4.329	0.692	-0.125	0.000
0.700	4.329	0.692	-0.125	0.000
0.700	4.333	0.692	-0.125	0.000
0.700	4.333	0.692	-0.125	0.000
0.700	4.331	0.693	-0.122	0.000
0.700	4.331	0.693	-0.122	0.000
0.700	4.333	0.693	-0.122	0.000
0.700	4.336	0.693	-0.122	0.000
0.700	4.336	0.692	-0.125	0.000
0.700	4.333	0.690	-0.129	0.000
0.700	4.333	0.692	-0.125	0.000
0.700	4.333	0.693	-0.122	0.000
0.700	4.331	0.692	-0.125	0.000
0.700	4.329	0.692	-0.125	0.000
0.700	4.331	0.690	-0.129	0.000
0.700	4.331	0.693	-0.122	0.000
0.700	4.336	0.692	-0.125	0.000
0.700	4.331	0.693	-0.122	0.000
0.700	4.336	0.693	-0.122	0.000
0.700	4.336	0.693	-0.122	0.000
0.700	4.333	0.695	-0.118	0.000
0.700	4.333	0.693	-0.122	0.000
0.700	4.331	0.692	-0.125	0.000
0.700	4.333	0.693	-0.122	0.000
0.700	4.333	0.693	-0.122	0.000
0.700	4.333	0.692	-0.125	0.000
0.700	4.333	0.693	-0.122	0.000
0.700	4.329	0.693	-0.122	0.000
0.700	4.333	0.692	-0.125	0.000
0.700	4.333	0.693	-0.122	0.000
0.700	4.333	0.693	-0.122	0.000
0.700	4.331	0.693	-0.122	0.000
0.700	4.331	0.695	-0.118	0.000
0.700	4.331	0.693	-0.122	0.000
0.700	4.333	0.693	-0.122	0.000
0.700	4.336	0.695	-0.118	0.000
0.700	4.333	0.693	-0.122	0.000
0.700	4.331	0.695	-0.118	0.000
0.700	4.333	0.693	-0.122	0.000
0.700	4.333	0.693	-0.122	0.000
0.700	4.331	0.696	-0.115	0.000
0.700	4.331	0.693	-0.122	0.000
0.700	4.333	0.693	-0.122	0.000
0.700	4.329	0.695	-0.118	0.000
