ref	ball_pos	gear_angle	motor_voltage	zero
0.700	4.341	0.644	-0.171	0.000
0.700	4.343	0.644	-0.171	0.000
0.700	4.343	0.644	-0.171	0.000
0.700	4.343	0.646	-0.169	0.000
0.700	4.341	0.646	-0.169	0.000
-0.700	4.341	0.646	1.687	0.000
-0.700	4.336	0.650	1.692	0.000
-0.700	4.341	0.649	1.691	0.000
-0.700	4.338	0.649	1.691	0.000
-0.700	4.338	0.649	1.691	0.000
-0.700	4.336	0.646	1.687	0.000
-0.700	4.336	0.643	1.684	0.000
-0.700	4.341	0.637	1.677	0.000
-0.700	4.338	0.631	1.670	0.000
-0.700	4.336	0.627	1.664	0.000
-0.700	4.336	0.622	1.659	0.000
-0.700	4.341	0.615	1.651	0.000
-0.700	4.341	0.610	1.645	0.000
-0.700	4.336	0.603	1.637	0.000
-0.700	4.341	0.597	1.630	0.000
-0.700	4.338	0.590	1.621	0.000
-0.700	4.338	0.582	1.612	0.000
-0.700	4.336	0.575	1.604	0.000
-0.700	4.338	0.568	1.595	0.000
-0.700	4.336	0.560	1.586	0.000
-0.700	4.338	0.553	1.578	0.000
-0.700	4.336	0.545	1.569	0.000
-0.700	4.336	0.540	1.562	0.000
-0.700	4.341	0.532	1.553	0.000
-0.700	4.341	0.525	1.545	0.000
-0.700	4.336	0.519	1.538	0.000
-0.700	4.338	0.511	1.529	0.000
-0.700	4.336	0.503	1.519	0.000
-0.700	4.336	0.497	1.512	0.000
-0.700	4.341	0.489	1.503	0.000
-0.700	4.341	0.480	1.493	0.000
-0.700	4.336	0.474	1.486	0.000
-0.700	4.341	0.467	1.477	0.000
-0.700	4.336	0.461	1.470	0.000
-0.700	4.341	0.452	1.460	0.000
-0.700	4.336	0.446	1.453	0.000
-0.700	4.341	0.440	1.446	0.000
-0.700	4.336	0.432	1.435	0.000
-0.700	4.338	0.424	1.427	0.000
-0.700	4.341	0.417	1.418	0.000
-0.700	4.336	0.411	1.411	0.000
-0.700	4.336	0.402	1.400	0.000
-0.700	4.336	0.396	1.394	0.000
-0.700	4.336	0.387	1.383	0.000
-0.700	4.333	0.386	1.381	0.000
-0.700	4.336	0.377	1.371	0.000
-0.700	4.336	0.371	1.364	0.000
-0.700	4.336	0.365	1.357	0.000
-0.700	4.336	0.361	1.352	0.000
-0.700	4.336	0.352	1.341	0.000
-0.700	4.336	0.344	1.333	0.000
-0.700	4.336	0.340	1.328	0.000
-0.700	4.338	0.333	1.319	0.000
-0.700	4.336	0.328	1.314	0.000
-0.700	4.336	0.321	1.305	0.000
-0.700	4.338	0.316	1.300	0.000
-0.700	4.336	0.309	1.291	0.000
-0.700	4.333	0.304	1.286	0.000
-0.700	4.336	0.297	1.277	0.000
-0.700	4.338	0.288	1.267	0.000
-0.700	4.336	0.282	1.260	0.000
-0.700	4.336	0.278	1.255	0.000
-0.700	4.336	0.272	1.248	0.000
-0.700	4.336	0.266	1.241	0.000
-0.700	4.336	0.260	1.234	0.000
-0.700	4.336	0.254	1.227	0.000
-0.700	4.336	0.248	1.220	0.000
-0.700	4.336	0.242	1.213	0.000
-0.700	4.341	0.236	1.206	0.000
-0.700	4.336	0.231	1.199	0.000
-0.700	4.338	0.225	1.192	0.000
-0.700	4.336	0.219	1.185	0.000
-0.700	4.336	0.214	1.180	0.000
-0.700	4.336	0.208	1.173	0.000
-0.700	4.341	0.201	1.164	0.000
-0.700	4.333	0.198	1.161	0.000
-0.700	4.333	0.191	1.152	0.000
-0.700	4.336	0.186	1.147	0.000
-0.700	4.336	0.182	1.142	0.000
-0.700	4.338	0.176	1.135	0.000
-0.700	4.333	0.170	1.128	0.000
-0.700	4.341	0.164	1.121	0.000
-0.700	4.338	0.160	1.116	0.000
-0.700	4.336	0.154	1.109	0.000
-0.700	4.336	0.148	1.102	0.000
-0.700	4.336	0.140	1.093	0.000
-0.700	4.336	0.137	1.090	0.000
-0.700	4.336	0.133	1.084	0.000
-0.700	4.336	0.126	1.076	0.000
-0.700	4.336	0.121	1.071	0.000
-0.700	4.336	0.117	1.065	0.000
-0.700	4.336	0.112	1.060	0.000
-0.700	4.338	0.105	1.051	0.000
-0.700	4.341	0.102	1.048	0.000
-0.700	4.336	0.096	1.041	0.000
-0.700	4.336	0.090	1.034	0.000
-0.700	4.336	0.084	1.027	0.000
-0.700	4.341	0.083	1.025	0.000
-0.700	4.336	0.077	1.018	0.000
-0.700	4.336	0.072	1.013	0.000
-0.700	4.336	0.066	1.006	0.000
-0.700	4.336	0.062	1.001	0.000
-0.700	4.336	0.058	0.996	0.000
-0.700	4.336	0.055	0.992	0.000
-0.700	4.336	0.047	0.984	0.000
-0.700	4.336	0.043	0.978	0.000
-0.700	4.336	0.038	0.973	0.000
-0.700	4.336	0.034	0.968	0.000
-0.700	4.338	0.031	0.965	0.000
-0.700	4.336	0.024	0.956	0.000
-0.700	4.336	0.019	0.951	0.000
-0.700	4.336	0.016	0.947	0.000
-0.700	4.341	0.010	0.940	0.000
-0.700	4.336	0.006	0.935	0.000
-0.700	4.336	0.003	0.932	0.000
-0.700	4.333	-0.002	0.926	0.000
-0.700	4.333	-0.005	0.923	0.000
-0.700	4.336	-0.010	0.916	0.000
-0.700	4.336	-0.015	0.911	0.000
-0.700	4.333	-0.019	0.906	0.000
-0.700	4.336	-0.022	0.902	0.000
-0.700	4.336	-0.027	0.897	0.000
-0.700	4.336	-0.031	0.892	0.000
-0.700	4.336	-0.037	0.885	0.000
-0.700	4.336	-0.042	0.880	0.000
-0.700	4.333	-0.043	0.878	0.000
-0.700	4.336	-0.049	0.871	0.000
-0.700	4.333	-0.052	0.867	0.000
-0.700	4.336	-0.058	0.860	0.000
-0.700	4.336	-0.059	0.859	0.000
-0.700	4.336	-0.062	0.855	0.000
-0.700	4.336	-0.070	0.847	0.000
-0.700	4.336	-0.070	0.847	0.000
-0.700	4.336	-0.074	0.841	0.000
-0.700	4.336	-0.078	0.836	0.000
-0.700	4.336	-0.083	0.831	0.000
-0.700	4.341	-0.087	0.826	0.000
-0.700	4.336	-0.089	0.824	0.000
-0.700	4.336	-0.095	0.817	0.000
-0.700	4.338	-0.098	0.814	0.000
-0.700	4.336	-0.101	0.810	0.000
-0.700	4.336	-0.107	0.803	0.000
-0.700	4.331	-0.108	0.801	0.000
-0.700	4.336	-0.112	0.796	0.000
-0.700	4.336	-0.115	0.793	0.000
-0.700	4.336	-0.120	0.787	0.000
-0.700	4.336	-0.123	0.784	0.000
-0.700	4.336	-0.124	0.782	0.000
-0.700	4.333	-0.130	0.775	0.000
-0.700	4.333	-0.135	0.770	0.000
-0.700	4.336	-0.136	0.768	0.000
-0.700	4.333	-0.145	0.758	0.000
-0.700	4.333	-0.146	0.756	0.000
